,,,,Reference, PTVL,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) ,P702N F150 (TFD) 
,,,AD2AC - FEATURE CONTENT GROUP 2,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,AD2AC <Canada Market>,,,,,,,,,,,,,,,,,,,,,
,,,,AD2AC (1) When In {CANADA(WANAC)},,S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1)
,,,AD2AD - FEATURE CONTENT GROUP 3,,,S/-,S/-,,,S/-,S/-,,S/-,S/-,S/-,S/-,S/-,,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,AD2AD <Mexico Market>,,,,,,,,,,,,,,,,,,,,,
,,,,AD2AD (1) When In {MEXICO(WANAD)},,S (1),S (1),,,S (1),S (1),,S (1),S (1),S (1),S (1),S (1),,S (1),S (1),S (1),S (1),S (1),S (1),S (1)
,,,AD2AF - FEATURE CONTENT GROUP 5,,,S/-,S/-,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,AD2AF <Sub Saharan Africa Markets>,,,,,,,,,,,,,,,,,,,,,
,,,,AD2AF (1) When In {Sub Saharan Africa(ADWCF)},,S (1),S (1),,,S (1),S (1),,,,,S (1),,,,,,,,,
,,,,"AD2AF (2) When In {RWANDA(WSADE),ETHIOPIA(WSAAF),LIBERIA(WSACB),BURKINA FASO(WSADB),MADAGASCAR(WSACC),SIERRA LEONE(WSADG),ANGOLA(WSAA7),CAPE VERDE ISLANDS(WSAAD),SENEGAL(WSAAS),CONGO, DEMOCRATIC REPUBLIC OF(WSAAZ),GABON(WSACE),BURUNDI(WSADA),CAMEROON(WSAAC),NIGERIA(WSAAP)}",,,,,,,,S (2),,,,,S (2),S (2),S (2),S (2),S (2),S (2),,S (2),S (2)
,,,,AD2AF (3) When In {ANGOLA(WSAA7)},,,,,,,,,S (3),S (3),S (3),,,,,,,,,,
,,,AD2AG - FEATURE CONTENT GROUP 6,,,S/-,S/-,,,S/-,S/-,S/-,S/-,S/-,S/-,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,AD2AG <Middle East / North Africa Markets>,,,,,,,,,,,,,,,,,,,,,
,,,,"AD2AG (1) When In {OMAN(WSAA5),QATAR(WSAAQ),BAHRAIN(WSAAA),IRAQ(WSADV),JORDAN(WSAA3),KUWAIT(WSAAJ),SAUDI ARABIA(WSAA4),LEBANON(WSAA8),GEORGIA(WSPBF),AZERBAIJAN(WSPBK)}",,S (1),S (1),,,,,,,,,,,,S (1),,S (1),,,,
,,,,AD2AG (2) When In {Middle East / North Africa(ADWCG)},,,,,,S (2),S (2),S (2),,,,,,S (2),,S (2),,S (2),,S (2),S (2)
,,,,"AD2AG (3) Except In {ANGOLA(WSAA7),ALL CANADA AND MEXICO(WAN05),U.S.(ADWCB)}",,,,,,,,,S (3),S (3),S (3),,,,,,,,,,
,,,,"AD2AG (4) Except In {ALL CANADA AND MEXICO(WAN05),U.S.(ADWCB)}",,,,,,,,,,,,,,,,,,,S (4),,
,,,AD2AH - FEATURE CONTENT GROUP 7,,,S/-,S/-,,,S/-,S/-,S/-,,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,AD2AH <Asia/Pacific + Stans Markets>,,,,,,,,,,,,,,,,,,,,,
,,,,AD2AH (1) When In {Asia/Pacific + Stans(ADWCH)},,S (1),S (1),,,S (1),S (1),,,,,S (1),,,,,,,,,
,,,,"AD2AH (2) When In {NEW CALEDONIA(WSPAN),TAHITI (FRENCH POLYNESIA)(WSIAP),LAOS(WSPCC),MONGOLIA(WSPA8),MYANMAR(WSPA9),WALLIS & FUTUNA(WAPAK)}",,,,,,,,S (2),,,,,S (2),S (2),,,,,,S (2),
,,,,"AD2AH (3) When In {NEW CALEDONIA(WSPAN),TAHITI (FRENCH POLYNESIA)(WSIAP),LAOS(WSPCC),MONGOLIA(WSPA8),CAMBODIA(WSPCA),MYANMAR(WSPA9),WALLIS & FUTUNA(WAPAK)}",,,,,,,,,,,,,,,S (3),S (3),S (3),S (3),,,S (3)
,,,AD2AP - FEATURE CONTENT GROUP 13,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,AD2AP <US Territories>,,,,,,,,,,,,,,,,,,,,,
,,,,AD2AP (1) When In {US Territories(ADWCP)},,S (1),S (1),,,S (1),S (1),S (1),,,,S (1),S (1),S (1),S (1),S (1),S (1),S (1),,S (1),S (1)
,,,,"AD2AP (2) Except In {CANADA(WANAC),U.S.(ADWCB)}",,,,S (2),S (2),,,,,,,,,,,,,,,,
,,,AD2AR - FEATURE CONTENT GROUP 14,,,S/-,S/-,,,S/-,S/-,S/-,,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,"AD2AR <Carribean, Central and South America Markets>",,,,,,,,,,,,,,,,,,,,,
,,,,"AD2AR (1) When In {ALL SOUTH AMERICA SECOND. TERR(WSS01),ALL CENTRAL AMERICA SECON TERR(WSC01),ALL CARBN ISLS TRTRY MKT LST 2(WSI02),VENEZUELA(WASAD)}",,S (1),S (1),,,,,,,,,,,,,,,,,,
,,,,"AD2AR (2) When In {Carribean, Central and South America(ADWCR)}",,,,,,S (2),S (2),,,,,S (2),,,,,,,,,
,,,,"AD2AR (3) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),CHILE(WSSAE),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),COLOMBIA(WSSAF),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),CAYMAN ISLANDS(WSIAT),ARGENTINA(WASAB)}",,,,,,,,S (3),,,,,S (3),S (3),,,,,,,
,,,,"AD2AR (4) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),URUGUAY(WSSAP),CHILE(WSSAE),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),COLOMBIA(WSSAF),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),COSTA RICA(WSCAC),CAYMAN ISLANDS(WSIAT)}",,,,,,,,,,,,,,,S (4),S (4),,,,,
,,,,"AD2AR (5) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),URUGUAY(WSSAP),CHILE(WSSAE),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),COLOMBIA(WSSAF),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),COSTA RICA(WSCAC),CAYMAN ISLANDS(WSIAT),ARGENTINA(WASAB)}",,,,,,,,,,,,,,,,,S (5),S (5),,,
,,,,"AD2AR (6) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),BELIZE(WSCAB),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),CAYMAN ISLANDS(WSIAT)}",,,,,,,,,,,,,,,,,,,,S (6),
,,,,"AD2AR (7) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),ECUADOR(WSSAH),CAYMAN ISLANDS(WSIAT),ALL SOUTH AMERICA PRINCIPLE(WAS01),ALL SA SECOND. TER LIST 2(WSS02)}",,,,,,,,,,,,,,,,,,,,,S (7)
,,SAT - GENERIC COUNTRY GROUPINGS,,Total,,,,,,,,,,,,,,,,,,,,,
,,,SATAB - GENERIC COUNTRY GROUP 1,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,SATAB <US Market>,,,,,,,,,,,,,,,,,,,,,
,,,,SATAB (1) When In {U.S.(ADWCB)},,S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1)
,,,SATAC - GENERIC COUNTRY GROUP 2,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,SATAC <Canada Market>,,,,,,,,,,,,,,,,,,,,,
,,,,SATAC (1) When In {CANADA(WANAC)},,S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1),S (1)
,,,SATAD - GENERIC COUNTRY GROUP 3,,,S/-,S/-,,,S/-,S/-,,S/-,S/-,S/-,S/-,S/-,,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,SATAD <Mexico Market>,,,,,,,,,,,,,,,,,,,,,
,,,,SATAD (1) When In {MEXICO(WANAD)},,S (1),S (1),,,S (1),S (1),,S (1),S (1),S (1),S (1),S (1),,S (1),S (1),S (1),S (1),S (1),S (1),S (1)
,,,SATAF - GENERIC COUNTRY GROUP 5,,,S/-,S/-,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,SATAF <Sub Saharan Africa Markets>,,,,,,,,,,,,,,,,,,,,,
,,,,SATAF (1) When In {Sub Saharan Africa(ADWCF)},,S (1),S (1),,,S (1),S (1),,,,,S (1),,,,,,,,,
,,,,"SATAF (2) When In {RWANDA(WSADE),ETHIOPIA(WSAAF),LIBERIA(WSACB),BURKINA FASO(WSADB),MADAGASCAR(WSACC),SIERRA LEONE(WSADG),ANGOLA(WSAA7),CAPE VERDE ISLANDS(WSAAD),SENEGAL(WSAAS),CONGO, DEMOCRATIC REPUBLIC OF(WSAAZ),GABON(WSACE),BURUNDI(WSADA),CAMEROON(WSAAC),NIGERIA(WSAAP)}",,,,,,,,S (2),,,,,S (2),S (2),S (2),S (2),S (2),S (2),,S (2),S (2)
,,,,SATAF (3) When In {ANGOLA(WSAA7)},,,,,,,,,S (3),S (3),S (3),,,,,,,,,,
,,,SATAG - GENERIC COUNTRY GROUP 6,,,S/-,S/-,,,S/-,S/-,S/-,S/-,S/-,S/-,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,S/-
,,,,SATAG <Middle East / North Africa Markets>,,,,,,,,,,,,,,,,,,,,,
,,,,"SATAG (1) When In {OMAN(WSAA5),QATAR(WSAAQ),BAHRAIN(WSAAA),IRAQ(WSADV),JORDAN(WSAA3),KUWAIT(WSAAJ),SAUDI ARABIA(WSAA4),LEBANON(WSAA8),GEORGIA(WSPBF),AZERBAIJAN(WSPBK)}",,S (1),S (1),,,,,,,,,,,,S (1),,S (1),,,,
,,,,SATAG (2) When In {Middle East / North Africa(ADWCG)},,,,,,S (2),S (2),S (2),,,,,,S (2),,S (2),,S (2),,S (2),S (2)
,,,,"SATAG (3) Except In {ANGOLA(WSAA7),ALL CANADA AND MEXICO(WAN05),U.S.(ADWCB)}",,,,,,,,,S (3),S (3),S (3),,,,,,,,,,
,,,,"SATAG (4) Except In {ALL CANADA AND MEXICO(WAN05),U.S.(ADWCB)}",,,,,,,,,,,,,,,,,,,S (4),,
,,,SATAH - GENERIC COUNTRY GROUP 7,,,S/-,S/-,,,S/-,S/-,S/-,,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,SATAH <Asia/Pacific + Stans Markets>,,,,,,,,,,,,,,,,,,,,,
,,,,SATAH (1) When In {Asia/Pacific + Stans(ADWCH)},,S (1),S (1),,,S (1),S (1),,,,,S (1),,,,,,,,,
,,,,"SATAH (2) When In {NEW CALEDONIA(WSPAN),TAHITI (FRENCH POLYNESIA)(WSIAP),LAOS(WSPCC),MONGOLIA(WSPA8),MYANMAR(WSPA9),WALLIS & FUTUNA(WAPAK)}",,,,,,,,S (2),,,,,S (2),S (2),,,,,,S (2),
,,,,"SATAH (3) When In {NEW CALEDONIA(WSPAN),TAHITI (FRENCH POLYNESIA)(WSIAP),LAOS(WSPCC),MONGOLIA(WSPA8),CAMBODIA(WSPCA),MYANMAR(WSPA9),WALLIS & FUTUNA(WAPAK)}",,,,,,,,,,,,,,,S (3),S (3),S (3),S (3),,,S (3)
,,,SATAR - GENERIC COUNTRY GROUP 13,,,S/-,S/-,,,S/-,S/-,S/-,,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,"SATAR <Carribean, Central and South American Markets>",,,,,,,,,,,,,,,,,,,,,
,,,,"SATAR (1) When In {ALL SOUTH AMERICA SECOND. TERR(WSS01),ALL CENTRAL AMERICA SECON TERR(WSC01),ALL CARBN ISLS TRTRY MKT LST 2(WSI02),VENEZUELA(WASAD)}",,S (1),S (1),,,,,,,,,,,,,,,,,,
,,,,"SATAR (2) When In {Carribean, Central and South America(ADWCR)}",,,,,,S (2),S (2),,,,,S (2),,,,,,,,,
,,,,"SATAR (3) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),CHILE(WSSAE),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),COLOMBIA(WSSAF),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),CAYMAN ISLANDS(WSIAT),ARGENTINA(WASAB)}",,,,,,,,S (3),,,,,S (3),S (3),,,,,,,
,,,,"SATAR (4) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),URUGUAY(WSSAP),CHILE(WSSAE),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),COLOMBIA(WSSAF),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),COSTA RICA(WSCAC),CAYMAN ISLANDS(WSIAT)}",,,,,,,,,,,,,,,S (4),S (4),,,,,
,,,,"SATAR (5) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),URUGUAY(WSSAP),CHILE(WSSAE),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),COLOMBIA(WSSAF),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),COSTA RICA(WSCAC),CAYMAN ISLANDS(WSIAT),ARGENTINA(WASAB)}",,,,,,,,,,,,,,,,,S (5),S (5),,,
,,,,"SATAR (6) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),BELIZE(WSCAB),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),CAYMAN ISLANDS(WSIAT)}",,,,,,,,,,,,,,,,,,,,S (6),
,,,,"SATAR (7) When In {ANTIGUA & BARBUDA(WSIAA),BERMUDA(WSIAD),NICARAGUA(WSCAG),GRENADA(WSIAG),BARBADOS(WSIAC),GUATEMALA(WSCAE),SURINAME(WSSAN),ARUBA(WSSAB),JAMAICA(WSIAJ),BELIZE(WSCAB),BOLIVIA(WSSAC),PANAMA(WSCAH),HAITI(WSIAI),BAHAMAS(WSIAB),DOMINICA(WSIAE),HONDURAS(WSCAF),ST. LUCIA(WSIAM),ECUADOR(WSSAH),CAYMAN ISLANDS(WSIAT),ALL SOUTH AMERICA PRINCIPLE(WAS01),ALL SA SECOND. TER LIST 2(WSS02)}",,,,,,,,,,,,,,,,,,,,,S (7)
,,,SATAT - GENERIC COUNTRY GROUP 15,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,,,S/-,S/-,S/-,S/-,S/-,S/-,S/-,,S/-,S/-
,,,,SATAT <US Territories>,,,,,,,,,,,,,,,,,,,,,
,,,,SATAT (1) When In {US Territories(ADWCP)},,S (1),S (1),,,S (1),S (1),S (1),,,,S (1),S (1),S (1),S (1),S (1),S (1),S (1),,S (1),S (1)
,,,,"SATAT (2) Except In {CANADA(WANAC),U.S.(ADWCB)}",,,,S (2),S (2),,,,,,,,,,,,,,,,
,,SUP - MARKET SUPER FAMILY,,Total,,,,,,,,,,,,,,,,,,,,,
,,,WAFAB - GVMT SRV ADMN-E & G DIRECT SLS,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,,WAFAC - MILITARY PERSONNEL SALES,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,,WANAB - USA,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,,WANAC - CANADA,,,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
,,,WANAD - MEXICO,,,O,O,,,O,O,,O,O,O,O,O,,O,O,O,O,O,O,O
,,,WAPAE - VANUATU,,,O,O,,,O,O,,,,,O,,,,,,,,,
,,,WAPAK - WALLIS & FUTUNA,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WASAB - ARGENTINA,,,,,,,O,O,O,,,,O,O,O,,,O,O,,,O
,,,WASAD - VENEZUELA,,,O,O,,,O,O,,,,,O,,,,,,,,,O
,,,WATAB - GUAM,,,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WATAC - NORTHERN MARIANA ISLANDS,,,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WATAD - US VIRGIN ISLANDS,,,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WATAE - PUERTO RICO,,,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WATAF - AMERICAN SAMOA,,,O,O,O,O,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSAA3 - JORDAN,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,,O,O
,,,WSAA4 - SAUDI ARABIA,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
,,,WSAA5 - OMAN,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
,,,WSAA7 - ANGOLA,,,O,O,,,O,O,O,O,O,O,O,O,O,O,O,O,O,,O,O
,,,WSAA8 - LEBANON,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
,,,WSAAA - BAHRAIN,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
,,,WSAAC - CAMEROON,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSAAD - CAPE VERDE ISLANDS,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSAAF - ETHIOPIA,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSAAH - IVORY COAST,,,O,O,,,O,O,,,,,O,,,,,,,,,
,,,WSAAJ - KUWAIT,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
,,,WSAAP - NIGERIA,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSAAQ - QATAR,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
,,,WSAAS - SENEGAL,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSAAY - UNITED ARAB EMIRATES,,,,,,,O,O,O,O,O,O,,,O,,O,,O,O,O,O
,,,"WSAAZ - CONGO, DEMOCRATIC REPUBLIC OF",,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSACB - LIBERIA,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSACC - MADAGASCAR,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSACE - GABON,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSADA - BURUNDI,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSADB - BURKINA FASO,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSADE - RWANDA,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSADG - SIERRA LEONE,,,O,O,,,O,O,O,,,,O,O,O,O,O,O,O,,O,O
,,,WSADV - IRAQ,,,O,O,,,O,O,O,O,O,O,,,O,O,O,O,O,O,O,O
